name,formula,mse,curiosity
"evolve_42_68ff4bf9","((0.408*(x)^2)+(0.672*x))",0.629892,0.613538
"evolve_433560229363542385_68ff4d44","((sin(-2.447)+(x*cos(-2.233))))^2",0.613044,0.619946
"((sin(-2.447)+(x*cos(-2.233))))^2",0.613044,0.619946,"2025-10-27T10:45:24.534127+00:00"
"evolve_116547280296385604_68ff4f9e","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T10:55:26.985917+00:00"
"evolve_433560229363542385_68ff4f9f","((sin(-2.447)+(x*cos(-2.233))))^2",0.613044,0.619946
"((sin(-2.447)+(x*cos(-2.233))))^2",0.613044,0.619946,"2025-10-27T10:55:27.723198+00:00"
"evolve_116547280296385604_68ff4fce","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T10:56:14.363120+00:00"
"evolve_116547280296385604_68ff4fcf","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T10:56:15.122330+00:00"
"evolve_116547280296385604_68ff51b7","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T11:04:23.774275+00:00"
"evolve_116547280296385604_68ff51b8","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T11:04:24.512535+00:00"
"evolve_116547280296385604_68ff5278","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T11:07:36.940467+00:00"
"evolve_116547280296385604_68ff5279","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
"(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243,"2025-10-27T11:07:37.677546+00:00"
"evolve_116547280296385604_68ff5418","(((0.207)^2+((x)^2*(0.743+-0.368)))+x)",1.636832,0.379243
