question,expected,date,attempts
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:04:24.516953+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:04:24.520671+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:04:24.524325+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:07:37.704310+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:07:37.708220+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:07:37.711912+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:14:32.793280+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:14:32.793338+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:14:32.793390+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:14:32.793442+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:14:32.793485+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:14:32.793552+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:18:19.492142+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:18:19.492199+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:18:19.492243+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:18:19.492285+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:18:19.492326+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:18:19.492368+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:18:19.492407+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:18:19.492446+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:18:19.492484+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:18:19.492522+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:18:19.492560+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:18:19.492598+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.785728+00:00",0
